country,crop,year,yield_2022,next_year,predicted_yield_2023
Afghanistan,Apples,2022,10600.0,2023,10288.171
Afghanistan,Apricots,2022,7527.9,2023,7003.5938
Afghanistan,Barley,2022,1375.0,2023,1777.997
Afghanistan,Cantaloupes and other melons,2022,10663.5,2023,10432.247
Afghanistan,Figs,2022,4150.5,2023,4354.7983
Afghanistan,Grapes,2022,9784.9,2023,9012.396
Afghanistan,Linseed,2022,906.3,2023,1029.5626
Afghanistan,Maize (corn),2022,2237.4,2023,2796.3503
Afghanistan,Millet,2022,1318.0,2023,1768.0656
Afghanistan,Mustard seed,2022,1033.0,2023,1188.617
Afghanistan,Olives,2022,3483.1,2023,3161.174
Afghanistan,Oranges,2022,6376.5,2023,6559.4893
Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,2022,4115.8,2023,4052.1309
Afghanistan,"Other citrus fruit, n.e.c.",2022,9432.4,2023,8886.603
Afghanistan,"Other fruits, n.e.c.",2022,7555.5,2023,7327.036
Afghanistan,Other pulses n.e.c.,2022,591.4,2023,1035.8073
Afghanistan,Other stone fruits,2022,7049.1,2023,6599.4897
Afghanistan,Peaches and nectarines,2022,8782.7,2023,8182.5674
Afghanistan,Pears,2022,8000.0,2023,7655.306
Afghanistan,Plums and sloes,2022,8588.9,2023,7690.7056
Afghanistan,Rice,2022,4625.0,2023,4590.839
Afghanistan,"Roots and Tubers, Total",2022,15875.0,2023,14981.563
Afghanistan,"Seed cotton, unginned",2022,1336.7,2023,1603.841
Afghanistan,Sesame seed,2022,857.1,2023,1390.599
Afghanistan,Sugar beet,2022,20000.0,2023,21302.531
Afghanistan,Sugar cane,2022,29000.0,2023,30136.688
Afghanistan,Sunflower seed,2022,1188.3,2023,1452.5367
Afghanistan,"Treenuts, Total",2022,1788.2,2023,1964.211
Afghanistan,Vegetables Primary,2022,11200.6,2023,11401.819
Afghanistan,Watermelons,2022,14709.6,2023,14627.616
Afghanistan,Wheat,2022,2125.0,2023,2459.8333
Albania,Apples,2022,24137.2,2023,24800.004
Albania,Apricots,2022,15109.9,2023,15417.156
Albania,Barley,2022,3397.2,2023,3641.8015
Albania,"Beans, dry",2022,1675.5,2023,1889.8907
Albania,"Broad beans and horse beans, dry",2022,1204.1,2023,1444.1012
Albania,Cantaloupes and other melons,2022,31788.1,2023,31512.854
Albania,Cherries,2022,10682.9,2023,11281.356
Albania,Dates,2022,40387.7,2023,38249.965
Albania,Figs,2022,15477.6,2023,16112.993
Albania,Grapes,2022,20454.7,2023,20642.867
Albania,Lemons and limes,2022,68023.5,2023,63226.184
Albania,Maize (corn),2022,7090.1,2023,7861.1763
Albania,Oats,2022,2270.3,2023,2693.9856
Albania,Olives,2022,3187.6,2023,3520.5918
Albania,Oranges,2022,59558.3,2023,55810.37
Albania,"Other citrus fruit, n.e.c.",2022,26630.3,2023,26477.635
Albania,"Other fruits, n.e.c.",2022,25902.4,2023,25598.162
Albania,Other pulses n.e.c.,2022,609.5,2023,1021.67773
Albania,Peaches and nectarines,2022,17219.9,2023,17732.336
Albania,Pears,2022,18860.2,2023,19601.074
Albania,Plums and sloes,2022,16951.2,2023,17098.781
Albania,Quinces,2022,58571.4,2023,54617.367
Albania,"Roots and Tubers, Total",2022,26505.9,2023,27141.543
Albania,Rye,2022,2372.4,2023,2632.2107
Albania,"Seed cotton, unginned",2022,1127.3,2023,1628.1049
Albania,Sour cherries,2022,5572.4,2023,6728.198
Albania,Soya beans,2022,2870.3,2023,2937.774
Albania,Strawberries,2022,48051.9,2023,46120.074
Albania,Sugar beet,2022,32250.4,2023,35035.19
Albania,Sunflower seed,2022,2369.4,2023,2523.579
Albania,"Tangerines, mandarins, clementines",2022,32984.1,2023,32394.969
Albania,"Treenuts, Total",2022,4876.0,2023,5428.4404
Albania,Vegetables Primary,2022,29554.9,2023,30259.293
Albania,Vetches,2022,281.8,2023,645.706
Albania,Watermelons,2022,46946.7,2023,45771.348
Albania,Wheat,2022,4296.3,2023,4732.2617
Algeria,Apples,2022,16833.0,2023,16908.37
Algeria,Apricots,2022,6922.3,2023,6944.641
Algeria,Bananas,2022,24649.3,2023,24931.828
Algeria,Barley,2022,1561.0,2023,1749.9928
Algeria,"Beans, dry",2022,936.5,2023,1152.8337
Algeria,"Broad beans and horse beans, dry",2022,1227.7,2023,1301.624
Algeria,Cherries,2022,2932.8,2023,3244.9526
Algeria,"Chick peas, dry",2022,1122.8,2023,1384.3218
Algeria,Dates,2022,7085.8,2023,7400.4014
Algeria,Figs,2022,2874.5,2023,3251.3823
Algeria,Grapes,2022,9693.0,2023,9711.966
Algeria,"Groundnuts, excluding shelled",2022,2913.2,2023,2704.7036
Algeria,Lemons and limes,2022,21056.5,2023,20383.156
Algeria,"Lentils, dry",2022,957.3,2023,1060.6449
Algeria,Locust beans (carobs),2022,4834.7,2023,4756.712
Algeria,Maize (corn),2022,4595.0,2023,4583.6445
Algeria,Oats,2022,1312.5,2023,1522.596
Algeria,Olives,2022,1798.4,2023,1991.7792
Algeria,Oranges,2022,24623.0,2023,23569.836
Algeria,"Other citrus fruit, n.e.c.",2022,1310.9,2023,1868.7086
Algeria,"Other fruits, n.e.c.",2022,8879.1,2023,9210.114
Algeria,Other pulses n.e.c.,2022,1138.8,2023,1263.1681
Algeria,Other stone fruits,2022,14079.5,2023,13437.04
Algeria,Peaches and nectarines,2022,11500.2,2023,11240.149
Algeria,Pears,2022,8408.4,2023,8935.733
Algeria,"Peas, dry",2022,995.9,2023,1188.9395
Algeria,Plums and sloes,2022,8355.5,2023,8081.411
Algeria,Pomelos and grapefruits,2022,25213.8,2023,24372.809
Algeria,Quinces,2022,6980.7,2023,7503.454
Algeria,Rape or colza seed,2022,1943.9,2023,1888.672
Algeria,Rice,2022,1789.9,2023,2252.0264
Algeria,"Roots and Tubers, Total",2022,32975.1,2023,31387.21
Algeria,"Seed cotton, unginned",2022,272.8,2023,769.47003
Algeria,Sorghum,2022,7160.7,2023,7053.543
Algeria,Sunflower seed,2022,447.6,2023,785.42883
Algeria,"Tangerines, mandarins, clementines",2022,20761.9,2023,20169.527
Algeria,"Treenuts, Total",2022,1717.0,2023,1928.3241
Algeria,Triticale,2022,1731.3,2023,2008.2994
Algeria,Vegetables Primary,2022,26012.9,2023,25682.96
Algeria,Vetches,2022,502.2,2023,897.5917
Algeria,Watermelons,2022,37158.1,2023,35690.426
Algeria,Wheat,2022,1646.8,2023,2006.4
Angola,Avocados,2022,11939.0,2023,11211.485
Angola,Bananas,2022,26665.0,2023,25524.805
Angola,"Beans, dry",2022,511.0,2023,594.88245
Angola,Castor oil seeds,2022,255.3,2023,374.71548
Angola,"Groundnuts, excluding shelled",2022,643.5,2023,730.3193
Angola,"Kenaf, and other textile bast fibres, raw or retted",2022,681.0,2023,666.8102
Angola,Maize (corn),2022,1120.3,2023,1189.0544
Angola,"Mangoes, guavas and mangosteens",2022,11239.8,2023,10448.587
Angola,Millet,2022,234.6,2023,334.6708
Angola,Oil palm fruit,2022,12088.6,2023,11407.878
Angola,"Other citrus fruit, n.e.c.",2022,11510.1,2023,10562.2
Angola,"Other fruits, n.e.c.",2022,4749.8,2023,4579.8623
Angola,Pineapples,2022,19231.6,2023,18571.516
Angola,Rice,2022,1232.3,2023,1249.9476
Angola,"Roots and Tubers, Total",2022,9969.3,2023,9935.476
Angola,"Seed cotton, unginned",2022,608.8,2023,801.9562
Angola,Sesame seed,2022,254.0,2023,366.96347
Angola,"Sisal, raw",2022,1046.3,2023,991.4065
Angola,Sorghum,2022,233.4,2023,398.37064
Angola,Soya beans,2022,1030.6,2023,949.0754
Angola,Sugar cane,2022,39468.2,2023,39783.746
Angola,Sunflower seed,2022,710.0,2023,779.5227
Angola,"Treenuts, Total",2022,794.4,2023,791.3651
Angola,Vegetables Primary,2022,12137.0,2023,12262.046
Angola,Wheat,2022,878.3,2023,1074.4097
Argentina,Apples,2022,27451.3,2023,25977.844
Argentina,Apricots,2022,11614.4,2023,10870.876
Argentina,Avocados,2022,7137.6,2023,7654.418
Argentina,Bananas,2022,20964.5,2023,21397.219
Argentina,Barley,2022,3952.9,2023,3787.4714
Argentina,"Beans, dry",2022,1269.4,2023,1568.7484
Argentina,"Broad beans and horse beans, dry",2022,8908.5,2023,7180.7627
Argentina,Canary seed,2022,1312.9,2023,1545.7395
Argentina,Cantaloupes and other melons,2022,15640.3,2023,15544.32
Argentina,Cereals n.e.c.,2022,643.2,2023,1136.6827
Argentina,Cherries,2022,3413.6,2023,3846.5442
Argentina,"Chick peas, dry",2022,1253.7,2023,1743.8348
Argentina,Figs,2022,3204.2,2023,3596.8877
Argentina,"Flax, raw or retted",2022,900.2,2023,1086.6295
Argentina,Grapes,2022,9354.4,2023,9405.517
Argentina,"Groundnuts, excluding shelled",2022,3311.8,2023,3182.0532
Argentina,Lemons and limes,2022,33983.6,2023,31487.176
Argentina,"Lentils, dry",2022,1787.6,2023,1622.6284
Argentina,Linseed,2022,1795.0,2023,1594.6703
Argentina,Lupins,2022,1584.8,2023,1621.1349
Argentina,Maize (corn),2022,6732.9,2023,6554.381
Argentina,"Mangoes, guavas and mangosteens",2022,8035.7,2023,8567.355
Argentina,Millet,2022,1627.7,2023,1861.4003
Argentina,Oats,2022,2073.1,2023,2299.7834
Argentina,Olives,2022,2750.8,2023,2875.6787
Argentina,Oranges,2022,24120.0,2023,22839.072
Argentina,"Other fibre crops, raw, n.e.c.",2022,995.6,2023,1437.2963
Argentina,Papayas,2022,11018.2,2023,12815.263
Argentina,Peaches and nectarines,2022,17366.7,2023,16224.795
Argentina,Pears,2022,28385.2,2023,26252.043
Argentina,"Peas, dry",2022,2640.9,2023,2474.438
Argentina,Pineapples,2022,18224.4,2023,18579.729
Argentina,Plums and sloes,2022,6289.8,2023,6368.3965
Argentina,Pomelos and grapefruits,2022,25248.5,2023,24115.871
Argentina,Quinces,2022,8588.7,2023,8774.839
Argentina,Rape or colza seed,2022,2048.2,2023,2248.9617
Argentina,Rice,2022,6569.7,2023,6431.041
Argentina,"Roots and Tubers, Total",2022,27626.4,2023,26386.352
Argentina,Rye,2022,1935.6,2023,2279.5679
Argentina,Safflower seed,2022,613.4,2023,944.823
Argentina,"Seed cotton, unginned",2022,2323.7,2023,2434.026
Argentina,Sorghum,2022,4119.7,2023,4199.5166
Argentina,Soya beans,2022,2763.0,2023,2581.5312
Argentina,Strawberries,2022,30033.7,2023,28499.602
Argentina,Sugar cane,2022,47972.4,2023,48173.535
Argentina,Sunflower seed,2022,2067.9,2023,2079.1265
Argentina,"Tangerines, mandarins, clementines",2022,14341.3,2023,14235.231
Argentina,"Treenuts, Total",2022,1143.4,2023,1462.369
Argentina,Tung nuts,2022,2660.7,2023,2749.1714
Argentina,Vegetables Primary,2022,22917.9,2023,22668.09
Argentina,Watermelons,2022,13941.9,2023,14946.624
Argentina,Wheat,2022,3382.5,2023,3598.606
Armenia,Apples,2022,8553.2,2023,8775.922
Armenia,Apricots,2022,9887.0,2023,9134.117
Armenia,Barley,2022,1800.6,2023,2098.3599
Armenia,"Beans, dry",2022,2160.8,2023,2230.081
Armenia,Cereals n.e.c.,2022,1703.6,2023,1926.2389
Armenia,Cherries,2022,6712.9,2023,6362.1836
Armenia,"Chick peas, dry",2022,1006.9,2023,1596.8846
Armenia,Figs,2022,6250.2,2023,6262.6797
Armenia,Grapes,2022,14938.9,2023,13381.509
Armenia,"Lentils, dry",2022,1440.7,2023,1438.788
Armenia,Linseed,2022,763.9,2023,1162.0872
Armenia,Maize (corn),2022,5164.4,2023,5090.202
Armenia,Oats,2022,2217.6,2023,2280.873
Armenia,Other berries and fruits of the genus vaccinium n.e.c.,2022,10304.4,2023,9206.71
Armenia,"Other fruits, n.e.c.",2022,2273.5,2023,3100.9868
Armenia,Other pulses n.e.c.,2022,1707.1,2023,1858.1097
Armenia,"Other tropical fruits, n.e.c.",2022,12062.2,2023,10995.266
Armenia,Peaches and nectarines,2022,10172.1,2023,9481.538
Armenia,Pears,2022,5372.5,2023,5734.0244
Armenia,"Peas, dry",2022,1373.1,2023,1705.9115
Armenia,Plums and sloes,2022,12357.1,2023,10938.653
Armenia,Quinces,2022,4398.7,2023,4875.11
Armenia,"Roots and Tubers, Total",2022,18245.6,2023,17226.602
Armenia,Rye,2022,150.0,2023,1253.9135
Armenia,Sour cherries,2022,2881.0,2023,3584.5112
Armenia,Sugar beet,2022,15085.4,2023,17273.31
Armenia,"Treenuts, Total",2022,2120.1,2023,2386.3518
Armenia,Vegetables Primary,2022,32014.3,2023,29790.7
Armenia,Watermelons,2022,30202.8,2023,28380.549
Armenia,Wheat,2022,2450.9,2023,2640.788
Australia,Apples,2022,15868.4,2023,16567.79
Australia,Apricots,2022,1025.5,2023,1784.7826
Australia,Avocados,2022,4847.9,2023,5176.4463
Australia,Bananas,2022,30751.0,2023,30818.168
Australia,Barley,2022,2822.1,2023,2857.709
Australia,"Beans, dry",2022,1825.0,2023,1861.1279
Australia,Blueberries,2022,3733.7,2023,4013.7048
Australia,"Broad beans and horse beans, dry",2022,2247.8,2023,2281.361
Australia,Canary seed,2022,678.0,2023,998.9309
Australia,Cantaloupes and other melons,2022,31313.9,2023,30149.344
Australia,Cherries,2022,7069.4,2023,7199.446
Australia,"Chick peas, dry",2022,1725.1,2023,1887.0973
Australia,Currants,2022,4718.6,2023,4736.5566
Australia,Figs,2022,1042.0,2023,1432.5458
Australia,Grapes,2022,10964.1,2023,11235.988
Australia,"Groundnuts, excluding shelled",2022,3305.3,2023,3428.5078
Australia,Hempseed,2022,3000.0,2023,1605.638
Australia,Kiwi fruit,2022,15724.8,2023,15753.193
Australia,Lemons and limes,2022,23889.5,2023,23389.07
Australia,"Lentils, dry",2022,1737.7,2023,1684.2451
Australia,Linseed,2022,1000.0,2023,1073.4886
Australia,Lupins,2022,1926.2,2023,1893.4753
Australia,Maize (corn),2022,8174.9,2023,8152.089
Australia,"Mangoes, guavas and mangosteens",2022,4229.1,2023,4655.205
Australia,Millet,2022,1022.6,2023,1226.4487
Australia,Oats,2022,2059.5,2023,2275.8357
Australia,Olives,2022,2445.8,2023,2616.2688
Australia,Oranges,2022,19543.6,2023,19603.242
Australia,Other berries and fruits of the genus vaccinium n.e.c.,2022,2650.6,2023,2822.4683
